Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Paired t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes,P-value t-statistics on Number of Nodes
KDD98 Multiclass 9,None,LS Squared Gini - LS Chi Square,-30.639167150104903,19,1.0,-34.10959542294184,19,1.0,173.43783962403185,19,0.0
KDD98 Multiclass 9,None,LS Squared Gini - PC-ext,-16.593524643066228,19,1.0,-14.56794488348101,19,0.999999999995,74.57646469585418,19,0.0
KDD98 Multiclass 9,None,LS Squared Gini - Twoing,-1.93808918474053,19,0.966191397078,1.411706842331915,19,0.087101969944,61.630094438418055,19,0.0
KDD98 Multiclass 9,None,LS Chi Square - PC-ext,17.991792572611015,19,1.08024700296e-13,24.33932475858028,19,4.4408920985e-16,-70.21265797553261,19,1.0
KDD98 Multiclass 9,None,LS Chi Square - Twoing,33.52096253424795,19,0.0,38.60795426374632,19,0.0,-126.88516926985673,19,1.0
KDD98 Multiclass 9,None,PC-ext - Twoing,13.237261894156306,19,2.42782460802e-11,16.65393146561225,19,4.31321645067e-13,-25.60269869634915,19,1.0
Cover Type,None,LS Squared Gini - LS Chi Square,216.66567827013174,19,0.0,216.66567827013174,19,0.0,1077.4697336887978,19,0.0
Cover Type,None,LS Squared Gini - PC-ext,102.84678197051758,19,0.0,102.84678197051758,19,0.0,988.1796021045656,19,0.0
Cover Type,None,LS Squared Gini - Twoing,167.546741048545,19,0.0,167.546741048545,19,0.0,872.1441891526933,19,0.0
Cover Type,None,LS Chi Square - PC-ext,-117.15178595889898,19,1.0,-117.15178595889898,19,1.0,-152.18693219353435,19,1.0
Cover Type,None,LS Chi Square - Twoing,-70.29197163364682,19,1.0,-70.29197163364682,19,1.0,-90.9599389869078,19,1.0
Cover Type,None,PC-ext - Twoing,23.434857237499532,19,8.881784197e-16,23.434857237499532,19,8.881784197e-16,66.32927916830143,19,0.0
KDD98 Multiclass 3,None,LS Squared Gini - Twoing,-5.716646991717681,19,0.999991766558,-1.2659979938469805,19,0.889591454821,27.896515669894395,19,0.0
KDD98 Multiclass 3,None,LS Squared Gini - LS Chi Square,-11.39374187449385,19,0.999999999691,-10.593803713786302,19,0.999999998969,31.120166440618643,19,0.0
KDD98 Multiclass 3,None,Twoing - LS Chi Square,-3.5827521956046313,19,0.99900759422,-8.48140228548993,19,0.999999965194,3.5140478812838216,19,0.0011600871936
