Dataset,Attribute,Criterion,Number of times is statistically better with missing values,Number of times is statistically better without missing values,Number of times has statistically larger number of nodes,Number of times is statistically worse with missing values,Number of times is statistically worse without missing values,Number of times has statistically smaller number of nodes
Adult Census Income,None,GW Chi Square,2,2,2,1,1,3
Adult Census Income,None,GW Squared Gini,1,1,1,5,5,5
Adult Census Income,None,Hypercube Cover,2,2,5,1,1,0
Adult Census Income,None,LS Chi Square,2,2,3,1,1,2
Adult Census Income,None,LS Squared Gini,0,0,0,6,6,6
Adult Census Income,None,PC-ext,6,6,2,0,0,2
Adult Census Income,None,Twoing,2,2,5,1,1,0
Cars,None,GW Chi Square,1,1,0,1,1,5
Cars,None,GW Squared Gini,0,0,6,6,6,0
Cars,None,Hypercube Cover,1,1,2,1,1,2
Cars,None,LS Chi Square,1,1,0,1,1,5
Cars,None,LS Squared Gini,6,6,5,0,0,1
Cars,None,PC-ext,1,1,2,1,1,2
Cars,None,Twoing,1,1,2,1,1,2
Cars with Aggreg,None,GW Chi Square,4,4,3,0,0,3
Cars with Aggreg,None,GW Squared Gini,0,0,5,0,0,1
Cars with Aggreg,None,Hypercube Cover,0,0,0,2,2,4
Cars with Aggreg,None,LS Chi Square,0,0,4,0,0,2
Cars with Aggreg,None,LS Squared Gini,3,3,6,1,1,0
Cars with Aggreg,None,PC-ext,0,0,0,2,2,4
Cars with Aggreg,None,Twoing,0,0,0,2,2,4
Contraceptive,None,GW Chi Square,2,2,0,0,0,3
Contraceptive,None,GW Squared Gini,0,1,5,0,0,1
Contraceptive,None,Hypercube Cover,0,0,0,1,1,2
Contraceptive,None,LS Chi Square,0,0,0,0,0,2
Contraceptive,None,LS Squared Gini,0,0,6,0,0,0
Contraceptive,None,PC-ext,0,0,0,1,2,2
Contraceptive,None,Twoing,0,0,1,0,0,2
Contraceptive with Aggreg,None,GW Chi Square,0,0,3,2,2,1
Contraceptive with Aggreg,None,GW Squared Gini,5,5,6,0,0,0
Contraceptive with Aggreg,None,Hypercube Cover,0,0,1,3,3,4
Contraceptive with Aggreg,None,LS Chi Square,0,0,3,2,2,2
Contraceptive with Aggreg,None,LS Squared Gini,5,5,4,0,0,1
Contraceptive with Aggreg,None,PC-ext,2,2,0,2,2,6
Contraceptive with Aggreg,None,Twoing,0,0,1,3,3,4
Cover Type,None,GW Chi Square,0,0,0,5,5,4
Cover Type,None,GW Squared Gini,3,3,3,2,2,0
Cover Type,None,Hypercube Cover,5,5,3,0,0,0
Cover Type,None,LS Chi Square,0,0,0,5,5,4
Cover Type,None,LS Squared Gini,3,3,3,2,2,0
Cover Type,None,PC-ext,5,5,3,0,0,0
Cover Type,None,Twoing,2,2,0,4,4,4
Cover Type with Aggreg,None,GW Chi Square,0,0,0,6,6,6
Cover Type with Aggreg,None,GW Squared Gini,2,2,3,4,4,2
Cover Type with Aggreg,None,Hypercube Cover,5,5,2,1,1,4
Cover Type with Aggreg,None,LS Chi Square,1,1,1,5,5,5
Cover Type with Aggreg,None,LS Squared Gini,3,3,3,3,3,2
Cover Type with Aggreg,None,PC-ext,6,6,5,0,0,1
Cover Type with Aggreg,None,Twoing,4,4,6,2,2,0
KDD98 Multiclass 2,None,GW Chi Square,1,3,3,2,3,2
KDD98 Multiclass 2,None,GW Squared Gini,3,4,0,1,0,4
KDD98 Multiclass 2,None,Hypercube Cover,0,0,5,3,4,0
KDD98 Multiclass 2,None,LS Chi Square,0,0,3,4,4,2
