Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Paired t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes,P-value t-statistics on Number of Nodes
KDD98 Multiclass 2,None,Hypercube Cover - Largest Class Alone,0.0,19,0.5,0.0,19,0.5,0.0,19,0.5
KDD98 Multiclass 2,None,Hypercube Cover - PC-ext,0.0,19,0.5,0.0,19,0.5,0.0,19,0.5
KDD98 Multiclass 2,None,Hypercube Cover - LS Squared Gini,20.44131574919473,19,1.07691633389e-14,20.44131574919473,19,1.07691633389e-14,0.0,19,0.5
KDD98 Multiclass 2,None,Hypercube Cover - LS Chi Square,0.0,19,0.5,0.0,19,0.5,0.0,19,0.5
KDD98 Multiclass 2,None,Hypercube Cover - Twoing,0.0,19,0.5,0.0,19,0.5,0.0,19,0.5
KDD98 Multiclass 2,None,Largest Class Alone - PC-ext,0.0,19,0.5,0.0,19,0.5,0.0,19,0.5
KDD98 Multiclass 2,None,Largest Class Alone - LS Squared Gini,20.44131574919473,19,1.07691633389e-14,20.44131574919473,19,1.07691633389e-14,0.0,19,0.5
KDD98 Multiclass 2,None,Largest Class Alone - LS Chi Square,0.0,19,0.5,0.0,19,0.5,0.0,19,0.5
KDD98 Multiclass 2,None,Largest Class Alone - Twoing,0.0,19,0.5,0.0,19,0.5,0.0,19,0.5
KDD98 Multiclass 2,None,PC-ext - LS Squared Gini,20.44131574919473,19,1.07691633389e-14,20.44131574919473,19,1.07691633389e-14,0.0,19,0.5
KDD98 Multiclass 2,None,PC-ext - LS Chi Square,0.0,19,0.5,0.0,19,0.5,0.0,19,0.5
KDD98 Multiclass 2,None,PC-ext - Twoing,0.0,19,0.5,0.0,19,0.5,0.0,19,0.5
KDD98 Multiclass 2,None,LS Squared Gini - LS Chi Square,-20.44131574919473,19,1.0,-20.44131574919473,19,1.0,0.0,19,0.5
