Dataset,Attribute,Criterion,Number of times is statistically better with missing values,Number of times is statistically better without missing values,Number of times has statistically larger number of nodes,Number of times is statistically worse with missing values,Number of times is statistically worse without missing values,Number of times has statistically smaller number of nodes
Cover Type,None,Conditional Inference Tree LS Squared Gini,0,0,0,0,0,0
Cover Type,None,Conditional Inference Tree Largest Class Alone,0,0,0,0,0,0
Cover Type,None,Conditional Inference Tree PC-ext,0,0,0,0,0,0
Cover Type,None,Conditional Inference Tree Twoing,0,0,0,0,0,0
Cover Type with Aggreg,None,Conditional Inference Tree Hypercube Cover,0,0,0,0,0,0
Cover Type with Aggreg,None,Conditional Inference Tree LS Chi Square,0,0,0,0,0,0
Cover Type with Aggreg,None,Conditional Inference Tree LS Squared Gini,0,0,0,0,0,0
Cover Type with Aggreg,None,Conditional Inference Tree Largest Class Alone,0,0,0,0,0,0
Cover Type with Aggreg,None,Conditional Inference Tree PC-ext,0,0,0,0,0,0
Cover Type with Aggreg,None,Conditional Inference Tree Twoing,0,0,0,0,0,0
KDD98 Multiclass 2,None,Conditional Inference Tree Hypercube Cover,0,0,3,2,1,0
KDD98 Multiclass 2,None,Conditional Inference Tree LS Chi Square,4,4,1,1,0,4
KDD98 Multiclass 2,None,Conditional Inference Tree LS Squared Gini,5,0,0,0,0,5
KDD98 Multiclass 2,None,Conditional Inference Tree Largest Class Alone,0,0,3,2,1,0
KDD98 Multiclass 2,None,Conditional Inference Tree PC-ext,0,0,2,2,1,3
KDD98 Multiclass 2,None,Conditional Inference Tree Twoing,0,0,3,2,1,0
KDD98 Multiclass 9,None,Conditional Inference Tree Hypercube Cover,1,1,0,1,2,3
KDD98 Multiclass 9,None,Conditional Inference Tree LS Chi Square,4,4,0,0,0,4
KDD98 Multiclass 9,None,Conditional Inference Tree LS Squared Gini,0,4,2,0,0,1
KDD98 Multiclass 9,None,Conditional Inference Tree Largest Class Alone,0,0,2,1,2,1
KDD98 Multiclass 9,None,Conditional Inference Tree PC-ext,0,0,1,2,4,1
KDD98 Multiclass 9,None,Conditional Inference Tree Twoing,0,1,5,1,2,0
Mushroom,None,Conditional Inference Tree Hypercube Cover,1,1,0,2,2,3
Mushroom,None,Conditional Inference Tree LS Chi Square,4,4,4,1,1,1
Mushroom,None,Conditional Inference Tree LS Squared Gini,5,5,5,0,0,0
Mushroom,None,Conditional Inference Tree Largest Class Alone,1,1,0,2,2,3
Mushroom,None,Conditional Inference Tree PC-ext,0,0,3,5,5,2
Mushroom,None,Conditional Inference Tree Twoing,1,1,0,2,2,3
Nursery,None,Conditional Inference Tree Hypercube Cover,2,2,2,0,0,0
Nursery,None,Conditional Inference Tree LS Chi Square,2,2,2,0,0,0
Nursery,None,Conditional Inference Tree LS Squared Gini,0,0,0,4,4,5
Nursery,None,Conditional Inference Tree Largest Class Alone,0,0,1,4,4,4
Nursery,None,Conditional Inference Tree PC-ext,2,2,2,0,0,0
Nursery,None,Conditional Inference Tree Twoing,2,2,2,0,0,0
Nursery with Aggreg,None,Conditional Inference Tree Hypercube Cover,2,2,2,0,0,0
Nursery with Aggreg,None,Conditional Inference Tree LS Chi Square,2,2,1,0,0,0
Nursery with Aggreg,None,Conditional Inference Tree LS Squared Gini,0,0,0,4,4,5
Nursery with Aggreg,None,Conditional Inference Tree Largest Class Alone,0,0,1,4,4,3
Nursery with Aggreg,None,Conditional Inference Tree PC-ext,2,2,2,0,0,0
Nursery with Aggreg,None,Conditional Inference Tree Twoing,2,2,2,0,0,0
Poker Hand,None,Conditional Inference Tree Hypercube Cover,1,1,1,1,1,1
Poker Hand,None,Conditional Inference Tree LS Chi Square,1,1,0,0,0,5
Poker Hand,None,Conditional Inference Tree LS Squared Gini,0,0,1,5,5,0
Poker Hand,None,Conditional Inference Tree Largest Class Alone,1,1,2,1,1,0
Poker Hand,None,Conditional Inference Tree PC-ext,1,1,1,1,1,0
Poker Hand,None,Conditional Inference Tree Twoing,4,4,1,0,0,0
Reuters Phonemes 10000 samples 15 classes,None,Conditional Inference Tree Hypercube Cover,2,2,0,3,3,3
Reuters Phonemes 10000 samples 15 classes,None,Conditional Inference Tree LS Chi Square,5,5,4,0,0,0
Reuters Phonemes 10000 samples 15 classes,None,Conditional Inference Tree LS Squared Gini,3,3,4,2,2,0
Reuters Phonemes 10000 samples 15 classes,None,Conditional Inference Tree Largest Class Alone,0,0,0,5,5,3
Reuters Phonemes 10000 samples 15 classes,None,Conditional Inference Tree PC-ext,1,1,0,4,4,3
Reuters Phonemes 10000 samples 15 classes,None,Conditional Inference Tree Twoing,4,4,3,1,1,2
San Francisco Crime 15 classes,None,Conditional Inference Tree Hypercube Cover,2,2,5,1,1,0
San Francisco Crime 15 classes,None,Conditional Inference Tree LS Chi Square,2,2,3,1,1,2
San Francisco Crime 15 classes,None,Conditional Inference Tree LS Squared Gini,0,0,0,5,5,5
San Francisco Crime 15 classes,None,Conditional Inference Tree Largest Class Alone,1,1,2,4,4,3
San Francisco Crime 15 classes,None,Conditional Inference Tree PC-ext,2,2,4,1,1,1
San Francisco Crime 15 classes,None,Conditional Inference Tree Twoing,5,5,1,0,0,4
Shelter Animal Outcomes 15 classes,None,Conditional Inference Tree Hypercube Cover,2,2,4,0,0,0
Shelter Animal Outcomes 15 classes,None,Conditional Inference Tree LS Chi Square,2,2,0,0,0,3
Shelter Animal Outcomes 15 classes,None,Conditional Inference Tree LS Squared Gini,0,0,0,3,3,3
Shelter Animal Outcomes 15 classes,None,Conditional Inference Tree PC-ext,2,2,2,0,0,1
Shelter Animal Outcomes 15 classes,None,Conditional Inference Tree Twoing,0,0,2,3,3,1
