Dataset,Attribute,Criterion,Number of times is statistically better with missing values,Number of times is statistically better without missing values,Number of times has statistically larger number of nodes,Number of times is statistically worse with missing values,Number of times is statistically worse without missing values,Number of times has statistically smaller number of nodes
Adult Census Income,None,Conditional Inference Tree Hypercube Cover,3,3,0,0,0,1
Adult Census Income,None,Conditional Inference Tree LS Chi Square,2,2,0,3,3,1
Adult Census Income,None,Conditional Inference Tree LS Squared Gini,1,1,5,4,4,0
Adult Census Income,None,Conditional Inference Tree Largest Class Alone,3,3,0,0,0,1
Adult Census Income,None,Conditional Inference Tree PC-ext,0,0,0,5,5,1
Adult Census Income,None,Conditional Inference Tree Twoing,3,3,0,0,0,1
Cars,None,Conditional Inference Tree Hypercube Cover,2,2,0,0,0,1
Cars,None,Conditional Inference Tree LS Chi Square,2,2,0,0,0,2
Cars,None,Conditional Inference Tree LS Squared Gini,0,0,5,5,5,0
Cars,None,Conditional Inference Tree Largest Class Alone,1,1,2,4,4,1
Cars,None,Conditional Inference Tree PC-ext,2,2,0,0,0,1
Cars,None,Conditional Inference Tree Twoing,2,2,0,0,0,2
Cars with Aggreg,None,Conditional Inference Tree Hypercube Cover,2,2,2,0,0,2
Cars with Aggreg,None,Conditional Inference Tree LS Chi Square,2,2,0,0,0,5
Cars with Aggreg,None,Conditional Inference Tree LS Squared Gini,0,0,5,5,5,0
Cars with Aggreg,None,Conditional Inference Tree Largest Class Alone,1,1,4,4,4,1
Cars with Aggreg,None,Conditional Inference Tree PC-ext,2,2,2,0,0,2
Cars with Aggreg,None,Conditional Inference Tree Twoing,2,2,1,0,0,4
Contraceptive,None,Conditional Inference Tree Hypercube Cover,1,1,0,1,1,3
Contraceptive,None,Conditional Inference Tree LS Chi Square,0,0,0,0,1,1
Contraceptive,None,Conditional Inference Tree LS Squared Gini,4,5,5,0,0,0
Contraceptive,None,Conditional Inference Tree Largest Class Alone,0,0,1,3,3,1
Contraceptive,None,Conditional Inference Tree PC-ext,0,0,0,1,1,1
Contraceptive,None,Conditional Inference Tree Twoing,1,1,1,1,1,1
Contraceptive with Aggreg,None,Conditional Inference Tree Hypercube Cover,1,0,1,2,2,2
Contraceptive with Aggreg,None,Conditional Inference Tree LS Chi Square,4,4,0,0,0,4
Contraceptive with Aggreg,None,Conditional Inference Tree LS Squared Gini,4,4,4,0,0,0
Contraceptive with Aggreg,None,Conditional Inference Tree Largest Class Alone,0,0,4,3,2,0
Contraceptive with Aggreg,None,Conditional Inference Tree PC-ext,0,0,1,2,2,2
Contraceptive with Aggreg,None,Conditional Inference Tree Twoing,0,0,0,2,2,2
Cover Type,None,Conditional Inference Tree Hypercube Cover,0,0,0,0,0,0
Cover Type,None,Conditional Inference Tree LS Chi Square,0,0,0,0,0,0
